Is an Opportunity Zone,Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,"Net Occupancy Base, %","Net Occupancy Tract, %",Residential Real Estate Value Score,"Residential Real Estate Value Base, %","Residential Real Estate Value Tract, %",Acres of Park Land Score,"Acres of Park Land Base, %","Acres of Park Land Tract, %",Affordable Housing Score,"Affordable Housing Base, %","Affordable Housing Tract, %",Internet Access Score,"Internet Access Base, %","Internet Access Tract, %",Travel Time to Work Score,"Travel Time to Work Base, %","Travel Time to Work Tract, %",Economy,Economy Growth,Economy Inclusion,New Businesses Score,"New Businesses Base, %","New Businesses Tract, %",Spend Growth Score,"Spend Growth Base, %","Spend Growth Tract, %",Small Business Loans Score,"Small Business Loans Base, %","Small Business Loans Tract, %",Minority/Women Owned Businesses Score,"Minority/Women Owned Businesses Base, %","Minority/Women Owned Businesses Tract, %",Labor Market Engagement Index Score,Labor Market Engagement Index Base,Labor Market Engagement Index Tract,Commercial Diversity Score,"Commercial Diversity Base, %","Commercial Diversity Tract, %",Community,Community Growth,Community Inclusion,Personal Income Score,"Personal Income Base, %","Personal Income Tract, %",Spending per Capita Score,"Spending per Capita Base, %","Spending per Capita Tract, %",Female Above Poverty Score,"Female Above Poverty Base, %","Female Above Poverty Tract, %",Gini Coefficient Score,Gini Coefficient Base,Gini Coefficient Tract,Early Education Enrollment Score,"Early Education Enrollment Base, %","Early Education Enrollment Tract, %",Health Insurance Coverage Score,"Health Insurance Coverage Base, %","Health Insurance Coverage Tract, %"
N/A,47157003500,Shelby County,Tennessee,2019,42.0,30.0,53.0,40.0,32.0,49.0,18.0,1.8,-6.5,46.0,16.5,10.4,5.0,4.1,0.2,78.0,72.5,79.0,22.0,83.9,72.6,90.0,56.5,75.4,44.0,31.0,58.0,42.0,13.7,14.3,26.0,N/A,N/A,24.0,8.6,-7.9,35.0,4.0,3.1,94.0,60.0,96.0,46.0,20.1,19.2,39.0,26.0,52.0,37.0,9.2,-1.4,14.0,N/A,N/A,62.0,87.0,90.2,11.0,41.6,50.1,93.0,25.3,51.1,43.0,93.3,92.4
N/A,47157003500,Shelby County,Tennessee,2020,46.0,40.0,51.0,40.0,29.0,52.0,17.0,1.5,-7.2,41.0,25.2,13.1,5.0,4.1,0.2,85.0,72.8,81.2,25.0,84.9,75.6,93.0,55.8,77.1,44.0,37.0,51.0,71.0,7.4,46.9,22.0,N/A,N/A,18.0,8.1,-15.5,24.0,3.4,2.1,94.0,61.0,96.0,35.0,20.6,17.6,52.0,55.0,49.0,43.0,12.2,4.9,67.0,N/A,N/A,46.0,87.5,86.3,9.0,41.6,51.1,96.0,25.4,57.2,44.0,94.2,93.5
N/A,47157003500,Shelby County,Tennessee,2021,54.0,57.0,51.0,52.0,44.0,60.0,33.0,-0.0,-3.5,56.0,25.7,32.9,5.0,4.1,0.2,90.0,73.3,84.2,47.0,89.1,88.5,97.0,55.6,83.1,57.0,66.0,48.0,66.0,5.3,21.3,62.0,N/A,N/A,70.0,7.1,36.7,9.0,5.0,1.8,93.0,59.0,95.0,41.0,20.6,18.9,52.0,60.0,44.0,44.0,13.8,6.8,76.0,N/A,N/A,22.0,88.8,77.4,11.0,41.3,50.5,89.0,27.5,52.9,52.0,95.0,95.2
N/A,47157003500,Shelby County,Tennessee,2022,52.0,46.0,58.0,53.0,43.0,63.0,44.0,-0.3,-0.2,42.0,31.6,17.9,5.0,4.1,0.2,90.0,72.9,84.1,59.0,90.6,92.3,98.0,56.3,85.7,50.0,32.0,69.0,19.0,-15.0,-26.3,63.0,N/A,N/A,15.0,17.9,-14.9,68.0,5.1,7.1,95.0,60.0,96.0,45.0,21.1,20.0,52.0,64.0,41.0,68.0,14.5,17.6,61.0,N/A,N/A,35.0,88.8,84.2,18.0,41.3,48.0,89.0,27.4,52.9,22.0,94.9,90.5
N/A,47157003500,Shelby County,Tennessee,2023,51.0,47.5,54.0,56.0,52.0,60.0,61.0,-0.5,6.3,43.0,48.8,35.1,5.0,4.1,0.2,80.0,72.2,80.3,58.0,91.7,93.0,98.0,56.7,86.2,58.0,45.5,70.0,57.0,21.2,35.7,16.0,N/A,N/A,63.0,0.0,14.9,77.0,4.2,7.0,95.0,60.0,96.0,39.0,20.7,18.5,38.0,44.0,31.0,76.0,16.7,24.6,13.0,N/A,N/A,48.0,88.8,88.1,9.0,41.5,51.9,48.0,27.8,27.0,18.0,95.0,89.4
N/A,47157003500,Shelby County,Tennessee,2024,50.0,47.0,54.0,56.0,51.0,60.0,59.0,-0.3,5.1,43.0,48.8,35.1,5.0,4.1,0.2,80.0,72.2,80.3,58.0,91.7,93.0,98.0,56.7,86.2,58.0,45.0,70.0,32.0,0.0,-3.5,57.0,N/A,N/A,45.0,0.0,0.0,82.0,3.6,7.3,95.0,60.0,96.0,33.0,1.3,0.9,38.0,44.0,31.0,76.0,16.7,24.6,13.0,N/A,N/A,48.0,88.8,88.1,9.0,41.5,51.9,48.0,27.8,27.0,18.0,95.0,89.4
N/A,47157003500,Shelby County,Tennessee,2025,54.0,52.0,56.0,56.0,51.0,60.0,59.0,-0.3,5.1,43.0,48.8,35.1,5.0,4.1,0.2,80.0,72.2,80.3,58.0,91.7,93.0,98.0,56.7,86.2,60.0,44.0,76.0,50.0,12.1,16.4,37.0,N/A,N/A,45.0,0.0,0.0,91.0,3.2,9.4,95.0,60.0,96.0,43.0,20.5,19.0,46.0,60.0,31.0,76.0,16.7,24.6,45.0,N/A,N/A,48.0,88.8,88.1,9.0,41.5,51.9,48.0,27.8,27.0,18.0,95.0,89.4
Yes,47157003600,Shelby County,Tennessee,2017,42.0,50.0,34.0,44.0,40.0,47.0,38.0,2.1,2.8,43.0,-0.4,5.0,6.0,4.1,0.3,98.0,71.2,86.7,9.0,82.9,60.1,75.0,57.6,67.9,53.0,56.0,50.0,64.0,5.9,7.1,54.0,N/A,N/A,51.0,5.7,6.0,18.0,4.0,2.1,59.0,59.0,68.0,73.0,20.1,24.9,30.0,54.0,5.0,79.0,3.3,28.9,28.0,N/A,N/A,13.0,86.3,64.3,0.0,41.3,62.2,5.0,25.5,5.8,1.0,91.2,71.4
Yes,47157003600,Shelby County,Tennessee,2018,38.0,44.0,33.0,36.0,24.0,48.0,24.0,2.1,-0.8,23.0,5.4,-6.5,6.0,4.1,0.3,99.0,72.0,88.9,9.0,82.9,60.1,78.0,57.0,68.9,54.0,62.0,47.0,64.0,5.9,7.1,79.0,N/A,N/A,43.0,1.6,-2.8,18.0,4.0,2.1,51.0,60.0,61.0,73.0,20.1,24.9,25.0,46.0,4.0,80.0,5.7,36.7,12.0,N/A,N/A,12.0,86.6,64.8,1.0,41.5,62.0,1.0,25.5,0.0,0.0,92.3,70.3
Yes,47157003600,Shelby County,Tennessee,2019,40.0,46.0,33.0,30.0,12.0,48.0,15.0,1.8,-3.7,8.0,16.5,-21.2,6.0,4.1,0.3,99.0,72.5,89.2,9.0,83.9,61.6,79.0,56.5,68.8,53.0,60.0,46.0,41.0,13.7,3.7,83.0,N/A,N/A,57.0,8.6,13.0,18.0,4.0,2.1,46.0,60.0,56.0,73.0,20.1,24.9,36.0,67.0,4.0,78.0,9.2,31.6,56.0,N/A,N/A,14.0,87.0,67.4,1.0,41.6,60.5,1.0,25.3,0.0,0.0,93.3,70.8
